seed,kind,method,heldout_auc,external_auc
9017,linear,random_gran,0.7438888888888888,0.6922222222222222
9017,linear,uniform,0.735,0.6794444444444444
9017,nonlinear,capability,0.7527777777777778,0.7016666666666668
9017,nonlinear,difficulty,0.7622222222222222,0.725
9017,nonlinear,failure,0.7111111111111111,0.6611111111111111
9017,nonlinear,family,0.7177777777777777,0.6594444444444445
9017,nonlinear,random_gran,0.7388888888888889,0.6827777777777778
9017,nonlinear,uniform,0.7399999999999999,0.6849999999999999
9017,tabular,capability,0.7322222222222222,0.6827777777777778
9017,tabular,difficulty,0.755,0.7155555555555555
9017,tabular,failure,0.7022222222222222,0.64
9017,tabular,family,0.7111111111111111,0.6477777777777778
9017,tabular,random_gran,0.708888888888889,0.6549999999999999
9017,tabular,uniform,0.7077777777777777,0.648888888888889
9018,linear,capability,0.7422222222222222,0.7261111111111109
9018,linear,difficulty,0.7461111111111111,0.7316666666666666
9018,linear,failure,0.7138888888888889,0.7005555555555555
9018,linear,family,0.7105555555555556,0.7011111111111111
9018,linear,random_gran,0.7227777777777779,0.706111111111111
9018,linear,uniform,0.7233333333333333,0.696111111111111
9018,nonlinear,capability,0.7400000000000001,0.7283333333333334
9018,nonlinear,difficulty,0.7416666666666667,0.7288888888888888
9018,nonlinear,failure,0.725,0.7072222222222222
9018,nonlinear,family,0.7238888888888889,0.6955555555555556
9018,nonlinear,random_gran,0.741111111111111,0.73
9018,nonlinear,uniform,0.7383333333333333,0.7177777777777777
9018,tabular,capability,0.73,0.7105555555555556
9018,tabular,difficulty,0.7427777777777776,0.7205555555555555
9018,tabular,failure,0.6966666666666667,0.6727777777777778
9018,tabular,family,0.6944444444444445,0.668888888888889
9018,tabular,random_gran,0.7116666666666666,0.6883333333333334
9018,tabular,uniform,0.7022222222222222,0.68
9019,linear,capability,0.7655555555555557,0.7199999999999999
9019,linear,difficulty,0.775,0.7322222222222222
9019,linear,failure,0.7288888888888888,0.6816666666666666
9019,linear,family,0.7455555555555556,0.7005555555555555
9019,linear,random_gran,0.7372222222222221,0.6977777777777779
9019,linear,uniform,0.75,0.7027777777777778
9019,nonlinear,capability,0.7572222222222221,0.7116666666666666
9019,nonlinear,difficulty,0.7716666666666666,0.7277777777777779
9019,nonlinear,failure,0.7255555555555556,0.6794444444444444
9019,nonlinear,family,0.7338888888888889,0.6811111111111111
9019,nonlinear,random_gran,0.7555555555555555,0.7127777777777778
9019,nonlinear,uniform,0.745,0.6944444444444445
9019,tabular,capability,0.7277777777777779,0.6794444444444444
9019,tabular,difficulty,0.7383333333333333,0.6905555555555555
9019,tabular,failure,0.7066666666666667,0.6572222222222223
9019,tabular,family,0.7072222222222222,0.6561111111111111
9019,tabular,random_gran,0.7105555555555556,0.6655555555555556
9019,tabular,uniform,0.7261111111111109,0.6694444444444444
9020,linear,capability,0.7827777777777777,0.7122222222222222
9020,linear,difficulty,0.7766666666666665,0.7033333333333333
9020,linear,failure,0.7200000000000001,0.6522222222222221
9020,linear,family,0.7294444444444445,0.6555555555555556
9020,linear,random_gran,0.7694444444444444,0.6822222222222222
9020,linear,uniform,0.7611111111111111,0.6794444444444444
9020,nonlinear,capability,0.7811111111111111,0.696111111111111
9020,nonlinear,difficulty,0.79,0.7200000000000001
9020,nonlinear,failure,0.73,0.6594444444444444
9020,nonlinear,family,0.7355555555555555,0.6583333333333333
9020,nonlinear,random_gran,0.741111111111111,0.6633333333333333
9020,nonlinear,uniform,0.7594444444444445,0.6877777777777778
9020,tabular,capability,0.7422222222222222,0.6711111111111112
9020,tabular,difficulty,0.7572222222222221,0.6894444444444444
9020,tabular,failure,0.7194444444444444,0.6361111111111112
9020,tabular,family,0.6916666666666668,0.6311111111111111
9020,tabular,random_gran,0.7238888888888889,0.66
9020,tabular,uniform,0.7344444444444443,0.6594444444444445
