axis,value,seed,level,success
transition_noise,0.4,9302,failure,0.66
transition_noise,0.4,9303,global,0.71
transition_noise,0.4,9303,capability,0.7533333333333333
transition_noise,0.4,9303,family,0.6833333333333333
transition_noise,0.4,9303,failure,0.67
transition_noise,0.4,9304,global,0.6933333333333334
transition_noise,0.4,9304,capability,0.6733333333333333
transition_noise,0.4,9304,family,0.6533333333333333
transition_noise,0.4,9304,failure,0.6466666666666666
transition_noise,0.4,9305,global,0.7033333333333334
transition_noise,0.4,9305,capability,0.7566666666666667
transition_noise,0.4,9305,family,0.68
transition_noise,0.4,9305,failure,0.63
transition_noise,0.4,9306,global,0.76
transition_noise,0.4,9306,capability,0.74
transition_noise,0.4,9306,family,0.65
transition_noise,0.4,9306,failure,0.7066666666666667
transition_noise,0.4,9307,global,0.74
transition_noise,0.4,9307,capability,0.7166666666666667
transition_noise,0.4,9307,family,0.6466666666666666
transition_noise,0.4,9307,failure,0.66
transition_noise,0.4,9308,global,0.72
transition_noise,0.4,9308,capability,0.7533333333333333
transition_noise,0.4,9308,family,0.6566666666666666
transition_noise,0.4,9308,failure,0.63
transition_noise,0.4,9309,global,0.73
transition_noise,0.4,9309,capability,0.7633333333333333
transition_noise,0.4,9309,family,0.7066666666666667
transition_noise,0.4,9309,failure,0.6766666666666666
transition_noise,0.4,9310,global,0.67
transition_noise,0.4,9310,capability,0.7466666666666667
transition_noise,0.4,9310,family,0.69
transition_noise,0.4,9310,failure,0.6633333333333333
