seed,transfer,prevalence,budget,noise,level,success
9201,0.0,0.25,40,0.2,global,0.38333333333333336
9201,0.0,0.25,40,0.2,capability,0.46
9201,0.0,0.25,40,0.2,family,0.48333333333333334
9201,0.0,0.25,40,0.2,failure,0.5066666666666667
9202,0.0,0.25,40,0.2,global,0.4166666666666667
9202,0.0,0.25,40,0.2,capability,0.43666666666666665
9202,0.0,0.25,40,0.2,family,0.4766666666666667
9202,0.0,0.25,40,0.2,failure,0.48333333333333334
9203,0.0,0.25,40,0.2,global,0.5
9203,0.0,0.25,40,0.2,capability,0.5533333333333333
9203,0.0,0.25,40,0.2,family,0.49333333333333335
9203,0.0,0.25,40,0.2,failure,0.5166666666666667
9204,0.0,0.25,40,0.2,global,0.4633333333333333
9204,0.0,0.25,40,0.2,capability,0.5366666666666666
9204,0.0,0.25,40,0.2,family,0.4866666666666667
9204,0.0,0.25,40,0.2,failure,0.56
9205,0.0,0.25,40,0.2,global,0.47
9205,0.0,0.25,40,0.2,capability,0.5566666666666666
9205,0.0,0.25,40,0.2,family,0.5533333333333333
9205,0.0,0.25,40,0.2,failure,0.5833333333333334
9206,0.0,0.25,40,0.2,global,0.42333333333333334
9206,0.0,0.25,40,0.2,capability,0.51
9206,0.0,0.25,40,0.2,family,0.4533333333333333
9206,0.0,0.25,40,0.2,failure,0.43
9201,0.0,0.5,40,0.2,global,0.44
9201,0.0,0.5,40,0.2,capability,0.5333333333333333
9201,0.0,0.5,40,0.2,family,0.5633333333333334
9201,0.0,0.5,40,0.2,failure,0.6666666666666666
9202,0.0,0.5,40,0.2,global,0.42333333333333334
9202,0.0,0.5,40,0.2,capability,0.46
9202,0.0,0.5,40,0.2,family,0.5266666666666666
9202,0.0,0.5,40,0.2,failure,0.59
9203,0.0,0.5,40,0.2,global,0.5266666666666666
9203,0.0,0.5,40,0.2,capability,0.6266666666666667
9203,0.0,0.5,40,0.2,family,0.5666666666666667
9203,0.0,0.5,40,0.2,failure,0.6133333333333333
9204,0.0,0.5,40,0.2,global,0.44666666666666666
9204,0.0,0.5,40,0.2,capability,0.5433333333333333
9204,0.0,0.5,40,0.2,family,0.5033333333333333
9204,0.0,0.5,40,0.2,failure,0.6766666666666666
9205,0.0,0.5,40,0.2,global,0.46
9205,0.0,0.5,40,0.2,capability,0.5333333333333333
9205,0.0,0.5,40,0.2,family,0.5466666666666666
9205,0.0,0.5,40,0.2,failure,0.6
9206,0.0,0.5,40,0.2,global,0.39
9206,0.0,0.5,40,0.2,capability,0.6366666666666667
9206,0.0,0.5,40,0.2,family,0.55
9206,0.0,0.5,40,0.2,failure,0.6266666666666667
9201,0.0,0.75,40,0.2,global,0.4066666666666667
9201,0.0,0.75,40,0.2,capability,0.49666666666666665
9201,0.0,0.75,40,0.2,family,0.6033333333333334
9201,0.0,0.75,40,0.2,failure,0.7533333333333333
9202,0.0,0.75,40,0.2,global,0.43333333333333335
9202,0.0,0.75,40,0.2,capability,0.5033333333333333
9202,0.0,0.75,40,0.2,family,0.61
9202,0.0,0.75,40,0.2,failure,0.72
9203,0.0,0.75,40,0.2,global,0.5033333333333333
9203,0.0,0.75,40,0.2,capability,0.6266666666666667
9203,0.0,0.75,40,0.2,family,0.5733333333333334
9203,0.0,0.75,40,0.2,failure,0.6466666666666666
9204,0.0,0.75,40,0.2,global,0.45666666666666667
9204,0.0,0.75,40,0.2,capability,0.6066666666666667
9204,0.0,0.75,40,0.2,family,0.5466666666666666
9204,0.0,0.75,40,0.2,failure,0.7133333333333334
9205,0.0,0.75,40,0.2,global,0.43666666666666665
9205,0.0,0.75,40,0.2,capability,0.5566666666666666
9205,0.0,0.75,40,0.2,family,0.6266666666666667
9205,0.0,0.75,40,0.2,failure,0.7466666666666667
9206,0.0,0.75,40,0.2,global,0.3233333333333333
9206,0.0,0.75,40,0.2,capability,0.5833333333333334
9206,0.0,0.75,40,0.2,family,0.51
9206,0.0,0.75,40,0.2,failure,0.6533333333333333
9201,0.0,1.0,40,0.2,global,0.4033333333333333
9201,0.0,1.0,40,0.2,capability,0.5
9201,0.0,1.0,40,0.2,family,0.65
9201,0.0,1.0,40,0.2,failure,0.8033333333333333
9202,0.0,1.0,40,0.2,global,0.4166666666666667
9202,0.0,1.0,40,0.2,capability,0.5133333333333333
9202,0.0,1.0,40,0.2,family,0.7
9202,0.0,1.0,40,0.2,failure,0.81
9203,0.0,1.0,40,0.2,global,0.49
9203,0.0,1.0,40,0.2,capability,0.66
9203,0.0,1.0,40,0.2,family,0.6633333333333333
9203,0.0,1.0,40,0.2,failure,0.7966666666666666
9204,0.0,1.0,40,0.2,global,0.44666666666666666
9204,0.0,1.0,40,0.2,capability,0.6333333333333333
9204,0.0,1.0,40,0.2,family,0.59
9204,0.0,1.0,40,0.2,failure,0.7966666666666666
9205,0.0,1.0,40,0.2,global,0.5266666666666666
9205,0.0,1.0,40,0.2,capability,0.6
9205,0.0,1.0,40,0.2,family,0.7266666666666667
9205,0.0,1.0,40,0.2,failure,0.8433333333333334
9206,0.0,1.0,40,0.2,global,0.26666666666666666
9206,0.0,1.0,40,0.2,capability,0.6066666666666667
9206,0.0,1.0,40,0.2,family,0.5233333333333333
9206,0.0,1.0,40,0.2,failure,0.73
9201,0.25,0.25,40,0.2,global,0.48
9201,0.25,0.25,40,0.2,capability,0.5033333333333333
9201,0.25,0.25,40,0.2,family,0.52
9201,0.25,0.25,40,0.2,failure,0.5
9202,0.25,0.25,40,0.2,global,0.45666666666666667
9202,0.25,0.25,40,0.2,capability,0.45666666666666667
9202,0.25,0.25,40,0.2,family,0.4533333333333333
9202,0.25,0.25,40,0.2,failure,0.4866666666666667
9203,0.25,0.25,40,0.2,global,0.4766666666666667
9203,0.25,0.25,40,0.2,capability,0.5366666666666666
9203,0.25,0.25,40,0.2,family,0.5433333333333333
9203,0.25,0.25,40,0.2,failure,0.5066666666666667
9204,0.25,0.25,40,0.2,global,0.49333333333333335
9204,0.25,0.25,40,0.2,capability,0.5633333333333334
9204,0.25,0.25,40,0.2,family,0.51
9204,0.25,0.25,40,0.2,failure,0.57
9205,0.25,0.25,40,0.2,global,0.46
9205,0.25,0.25,40,0.2,capability,0.5733333333333334
9205,0.25,0.25,40,0.2,family,0.58
9205,0.25,0.25,40,0.2,failure,0.5733333333333334
9206,0.25,0.25,40,0.2,global,0.43333333333333335
9206,0.25,0.25,40,0.2,capability,0.53
9206,0.25,0.25,40,0.2,family,0.47333333333333333
9206,0.25,0.25,40,0.2,failure,0.48333333333333334
9201,0.25,0.5,40,0.2,global,0.5333333333333333
9201,0.25,0.5,40,0.2,capability,0.5766666666666667
9201,0.25,0.5,40,0.2,family,0.6633333333333333
9201,0.25,0.5,40,0.2,failure,0.6366666666666667
9202,0.25,0.5,40,0.2,global,0.47333333333333333
9202,0.25,0.5,40,0.2,capability,0.48
9202,0.25,0.5,40,0.2,family,0.5133333333333333
9202,0.25,0.5,40,0.2,failure,0.58
9203,0.25,0.5,40,0.2,global,0.5166666666666667
9203,0.25,0.5,40,0.2,capability,0.6333333333333333
9203,0.25,0.5,40,0.2,family,0.61
9203,0.25,0.5,40,0.2,failure,0.6066666666666667
9204,0.25,0.5,40,0.2,global,0.4666666666666667
9204,0.25,0.5,40,0.2,capability,0.5633333333333334
9204,0.25,0.5,40,0.2,family,0.5466666666666666
9204,0.25,0.5,40,0.2,failure,0.6733333333333333
9205,0.25,0.5,40,0.2,global,0.44666666666666666
9205,0.25,0.5,40,0.2,capability,0.56
9205,0.25,0.5,40,0.2,family,0.55
9205,0.25,0.5,40,0.2,failure,0.59
9206,0.25,0.5,40,0.2,global,0.4866666666666667
9206,0.25,0.5,40,0.2,capability,0.65
9206,0.25,0.5,40,0.2,family,0.6433333333333333
9206,0.25,0.5,40,0.2,failure,0.6766666666666666
9201,0.25,0.75,40,0.2,global,0.49333333333333335
9201,0.25,0.75,40,0.2,capability,0.5266666666666666
9201,0.25,0.75,40,0.2,family,0.73
9201,0.25,0.75,40,0.2,failure,0.73
9202,0.25,0.75,40,0.2,global,0.51
9202,0.25,0.75,40,0.2,capability,0.5466666666666666
9202,0.25,0.75,40,0.2,family,0.59
9202,0.25,0.75,40,0.2,failure,0.71
9203,0.25,0.75,40,0.2,global,0.5
9203,0.25,0.75,40,0.2,capability,0.6333333333333333
9203,0.25,0.75,40,0.2,family,0.6466666666666666
9203,0.25,0.75,40,0.2,failure,0.66
9204,0.25,0.75,40,0.2,global,0.47333333333333333
9204,0.25,0.75,40,0.2,capability,0.61
9204,0.25,0.75,40,0.2,family,0.6233333333333333
9204,0.25,0.75,40,0.2,failure,0.72
9205,0.25,0.75,40,0.2,global,0.41
9205,0.25,0.75,40,0.2,capability,0.57
9205,0.25,0.75,40,0.2,family,0.6033333333333334
9205,0.25,0.75,40,0.2,failure,0.7233333333333334
9206,0.25,0.75,40,0.2,global,0.43666666666666665
9206,0.25,0.75,40,0.2,capability,0.63
9206,0.25,0.75,40,0.2,family,0.6366666666666667
9206,0.25,0.75,40,0.2,failure,0.7066666666666667
9201,0.25,1.0,40,0.2,global,0.5166666666666667
9201,0.25,1.0,40,0.2,capability,0.57
9201,0.25,1.0,40,0.2,family,0.7933333333333333
9201,0.25,1.0,40,0.2,failure,0.7933333333333333
9202,0.25,1.0,40,0.2,global,0.5133333333333333
9202,0.25,1.0,40,0.2,capability,0.57
9202,0.25,1.0,40,0.2,family,0.69
9202,0.25,1.0,40,0.2,failure,0.7933333333333333
9203,0.25,1.0,40,0.2,global,0.48
9203,0.25,1.0,40,0.2,capability,0.6933333333333334
9203,0.25,1.0,40,0.2,family,0.7566666666666667
9203,0.25,1.0,40,0.2,failure,0.7666666666666667
9204,0.25,1.0,40,0.2,global,0.47
9204,0.25,1.0,40,0.2,capability,0.6366666666666667
9204,0.25,1.0,40,0.2,family,0.6633333333333333
9204,0.25,1.0,40,0.2,failure,0.8066666666666666
9205,0.25,1.0,40,0.2,global,0.46
9205,0.25,1.0,40,0.2,capability,0.63
9205,0.25,1.0,40,0.2,family,0.6633333333333333
9205,0.25,1.0,40,0.2,failure,0.8133333333333334
9206,0.25,1.0,40,0.2,global,0.38
9206,0.25,1.0,40,0.2,capability,0.64
9206,0.25,1.0,40,0.2,family,0.6933333333333334
9206,0.25,1.0,40,0.2,failure,0.7866666666666666
9201,0.5,0.25,40,0.2,global,0.47333333333333333
9201,0.5,0.25,40,0.2,capability,0.5266666666666666
9201,0.5,0.25,40,0.2,family,0.5066666666666667
9201,0.5,0.25,40,0.2,failure,0.49666666666666665
9202,0.5,0.25,40,0.2,global,0.4766666666666667
9202,0.5,0.25,40,0.2,capability,0.5166666666666667
9202,0.5,0.25,40,0.2,family,0.4666666666666667
9202,0.5,0.25,40,0.2,failure,0.51
9203,0.5,0.25,40,0.2,global,0.5633333333333334
9203,0.5,0.25,40,0.2,capability,0.5033333333333333
9203,0.5,0.25,40,0.2,family,0.5866666666666667
9203,0.5,0.25,40,0.2,failure,0.58
9204,0.5,0.25,40,0.2,global,0.4766666666666667
9204,0.5,0.25,40,0.2,capability,0.5566666666666666
9204,0.5,0.25,40,0.2,family,0.5366666666666666
9204,0.5,0.25,40,0.2,failure,0.5733333333333334
9205,0.5,0.25,40,0.2,global,0.5133333333333333
9205,0.5,0.25,40,0.2,capability,0.6033333333333334
9205,0.5,0.25,40,0.2,family,0.5966666666666667
9205,0.5,0.25,40,0.2,failure,0.57
9206,0.5,0.25,40,0.2,global,0.43333333333333335
9206,0.5,0.25,40,0.2,capability,0.5566666666666666
9206,0.5,0.25,40,0.2,family,0.4766666666666667
9206,0.5,0.25,40,0.2,failure,0.48333333333333334
9201,0.5,0.5,40,0.2,global,0.54
9201,0.5,0.5,40,0.2,capability,0.5966666666666667
9201,0.5,0.5,40,0.2,family,0.6033333333333334
9201,0.5,0.5,40,0.2,failure,0.62
9202,0.5,0.5,40,0.2,global,0.44666666666666666
9202,0.5,0.5,40,0.2,capability,0.5333333333333333
9202,0.5,0.5,40,0.2,family,0.51
9202,0.5,0.5,40,0.2,failure,0.61
9203,0.5,0.5,40,0.2,global,0.66
9203,0.5,0.5,40,0.2,capability,0.5433333333333333
9203,0.5,0.5,40,0.2,family,0.66
9203,0.5,0.5,40,0.2,failure,0.6733333333333333
9204,0.5,0.5,40,0.2,global,0.42333333333333334
9204,0.5,0.5,40,0.2,capability,0.5433333333333333
9204,0.5,0.5,40,0.2,family,0.6
9204,0.5,0.5,40,0.2,failure,0.68
9205,0.5,0.5,40,0.2,global,0.49666666666666665
9205,0.5,0.5,40,0.2,capability,0.5833333333333334
9205,0.5,0.5,40,0.2,family,0.5966666666666667
9205,0.5,0.5,40,0.2,failure,0.58
9206,0.5,0.5,40,0.2,global,0.48
9206,0.5,0.5,40,0.2,capability,0.6766666666666666
9206,0.5,0.5,40,0.2,family,0.64
9206,0.5,0.5,40,0.2,failure,0.6533333333333333
9201,0.5,0.75,40,0.2,global,0.52
9201,0.5,0.75,40,0.2,capability,0.5966666666666667
9201,0.5,0.75,40,0.2,family,0.6766666666666666
9201,0.5,0.75,40,0.2,failure,0.7066666666666667
9202,0.5,0.75,40,0.2,global,0.49333333333333335
9202,0.5,0.75,40,0.2,capability,0.5766666666666667
9202,0.5,0.75,40,0.2,family,0.5666666666666667
9202,0.5,0.75,40,0.2,failure,0.7233333333333334
9203,0.5,0.75,40,0.2,global,0.6233333333333333
9203,0.5,0.75,40,0.2,capability,0.53
9203,0.5,0.75,40,0.2,family,0.68
9203,0.5,0.75,40,0.2,failure,0.6966666666666667
9204,0.5,0.75,40,0.2,global,0.43333333333333335
9204,0.5,0.75,40,0.2,capability,0.6233333333333333
9204,0.5,0.75,40,0.2,family,0.6733333333333333
9204,0.5,0.75,40,0.2,failure,0.72
9205,0.5,0.75,40,0.2,global,0.4766666666666667
9205,0.5,0.75,40,0.2,capability,0.6166666666666667
9205,0.5,0.75,40,0.2,family,0.69
9205,0.5,0.75,40,0.2,failure,0.6533333333333333
9206,0.5,0.75,40,0.2,global,0.4166666666666667
9206,0.5,0.75,40,0.2,capability,0.6566666666666666
9206,0.5,0.75,40,0.2,family,0.6066666666666667
9206,0.5,0.75,40,0.2,failure,0.6933333333333334
9201,0.5,1.0,40,0.2,global,0.57
9201,0.5,1.0,40,0.2,capability,0.6266666666666667
9201,0.5,1.0,40,0.2,family,0.73
9201,0.5,1.0,40,0.2,failure,0.7633333333333333
9202,0.5,1.0,40,0.2,global,0.49
9202,0.5,1.0,40,0.2,capability,0.6033333333333334
9202,0.5,1.0,40,0.2,family,0.6466666666666666
9202,0.5,1.0,40,0.2,failure,0.8133333333333334
9203,0.5,1.0,40,0.2,global,0.6633333333333333
9203,0.5,1.0,40,0.2,capability,0.5066666666666667
9203,0.5,1.0,40,0.2,family,0.7733333333333333
9203,0.5,1.0,40,0.2,failure,0.8233333333333334
9204,0.5,1.0,40,0.2,global,0.43666666666666665
9204,0.5,1.0,40,0.2,capability,0.6366666666666667
9204,0.5,1.0,40,0.2,family,0.7133333333333334
9204,0.5,1.0,40,0.2,failure,0.8066666666666666
9205,0.5,1.0,40,0.2,global,0.54
9205,0.5,1.0,40,0.2,capability,0.68
9205,0.5,1.0,40,0.2,family,0.78
9205,0.5,1.0,40,0.2,failure,0.7266666666666667
9206,0.5,1.0,40,0.2,global,0.37333333333333335
9206,0.5,1.0,40,0.2,capability,0.6533333333333333
9206,0.5,1.0,40,0.2,family,0.6333333333333333
9206,0.5,1.0,40,0.2,failure,0.7533333333333333
9201,0.75,0.25,40,0.2,global,0.5133333333333333
9201,0.75,0.25,40,0.2,capability,0.6066666666666667
9201,0.75,0.25,40,0.2,family,0.5533333333333333
9201,0.75,0.25,40,0.2,failure,0.5033333333333333
9202,0.75,0.25,40,0.2,global,0.5166666666666667
9202,0.75,0.25,40,0.2,capability,0.51
9202,0.75,0.25,40,0.2,family,0.49333333333333335
9202,0.75,0.25,40,0.2,failure,0.5066666666666667
9203,0.75,0.25,40,0.2,global,0.5066666666666667
9203,0.75,0.25,40,0.2,capability,0.5833333333333334
9203,0.75,0.25,40,0.2,family,0.5666666666666667
9203,0.75,0.25,40,0.2,failure,0.5666666666666667
9204,0.75,0.25,40,0.2,global,0.49333333333333335
9204,0.75,0.25,40,0.2,capability,0.5866666666666667
9204,0.75,0.25,40,0.2,family,0.5966666666666667
9204,0.75,0.25,40,0.2,failure,0.5666666666666667
9205,0.75,0.25,40,0.2,global,0.5366666666666666
9205,0.75,0.25,40,0.2,capability,0.5766666666666667
9205,0.75,0.25,40,0.2,family,0.6166666666666667
9205,0.75,0.25,40,0.2,failure,0.6133333333333333
9206,0.75,0.25,40,0.2,global,0.4766666666666667
9206,0.75,0.25,40,0.2,capability,0.5466666666666666
9206,0.75,0.25,40,0.2,family,0.48333333333333334
9206,0.75,0.25,40,0.2,failure,0.5
9201,0.75,0.5,40,0.2,global,0.5533333333333333
9201,0.75,0.5,40,0.2,capability,0.6766666666666666
9201,0.75,0.5,40,0.2,family,0.6666666666666666
9201,0.75,0.5,40,0.2,failure,0.6666666666666666
