seed,transfer,prevalence,budget,noise,level,success
9201,0.0,0.25,160,0.2,global,0.86
9201,0.0,0.25,160,0.2,capability,0.7466666666666667
9201,0.0,0.25,160,0.2,family,0.6766666666666666
9201,0.0,0.25,160,0.2,failure,0.63
9202,0.0,0.25,160,0.2,global,0.8066666666666666
9202,0.0,0.25,160,0.2,capability,0.7433333333333333
9202,0.0,0.25,160,0.2,family,0.6233333333333333
9202,0.0,0.25,160,0.2,failure,0.6666666666666666
9203,0.0,0.25,160,0.2,global,0.77
9203,0.0,0.25,160,0.2,capability,0.7733333333333333
9203,0.0,0.25,160,0.2,family,0.6466666666666666
9203,0.0,0.25,160,0.2,failure,0.6233333333333333
9204,0.0,0.25,160,0.2,global,0.84
9204,0.0,0.25,160,0.2,capability,0.71
9204,0.0,0.25,160,0.2,family,0.6066666666666667
9204,0.0,0.25,160,0.2,failure,0.6266666666666667
9205,0.0,0.25,160,0.2,global,0.8333333333333334
9205,0.0,0.25,160,0.2,capability,0.76
9205,0.0,0.25,160,0.2,family,0.61
9205,0.0,0.25,160,0.2,failure,0.65
9206,0.0,0.25,160,0.2,global,0.8033333333333333
9206,0.0,0.25,160,0.2,capability,0.7033333333333334
9206,0.0,0.25,160,0.2,family,0.6
9206,0.0,0.25,160,0.2,failure,0.58
9201,0.0,0.5,160,0.2,global,0.8733333333333333
9201,0.0,0.5,160,0.2,capability,0.7866666666666666
9201,0.0,0.5,160,0.2,family,0.74
9201,0.0,0.5,160,0.2,failure,0.7233333333333334
9202,0.0,0.5,160,0.2,global,0.79
9202,0.0,0.5,160,0.2,capability,0.75
9202,0.0,0.5,160,0.2,family,0.67
9202,0.0,0.5,160,0.2,failure,0.6766666666666666
9203,0.0,0.5,160,0.2,global,0.79
9203,0.0,0.5,160,0.2,capability,0.8
9203,0.0,0.5,160,0.2,family,0.7133333333333334
9203,0.0,0.5,160,0.2,failure,0.69
9204,0.0,0.5,160,0.2,global,0.8633333333333333
9204,0.0,0.5,160,0.2,capability,0.7833333333333333
9204,0.0,0.5,160,0.2,family,0.7066666666666667
9204,0.0,0.5,160,0.2,failure,0.7333333333333333
9205,0.0,0.5,160,0.2,global,0.85
9205,0.0,0.5,160,0.2,capability,0.83
9205,0.0,0.5,160,0.2,family,0.7066666666666667
9205,0.0,0.5,160,0.2,failure,0.7266666666666667
9206,0.0,0.5,160,0.2,global,0.83
9206,0.0,0.5,160,0.2,capability,0.73
9206,0.0,0.5,160,0.2,family,0.6766666666666666
9206,0.0,0.5,160,0.2,failure,0.6366666666666667
9201,0.0,0.75,160,0.2,global,0.8366666666666667
9201,0.0,0.75,160,0.2,capability,0.82
9201,0.0,0.75,160,0.2,family,0.7966666666666666
9201,0.0,0.75,160,0.2,failure,0.7633333333333333
9202,0.0,0.75,160,0.2,global,0.8133333333333334
9202,0.0,0.75,160,0.2,capability,0.8266666666666667
9202,0.0,0.75,160,0.2,family,0.75
9202,0.0,0.75,160,0.2,failure,0.7766666666666666
9203,0.0,0.75,160,0.2,global,0.7466666666666667
9203,0.0,0.75,160,0.2,capability,0.7866666666666666
9203,0.0,0.75,160,0.2,family,0.7233333333333334
9203,0.0,0.75,160,0.2,failure,0.7233333333333334
9204,0.0,0.75,160,0.2,global,0.8833333333333333
9204,0.0,0.75,160,0.2,capability,0.8433333333333334
9204,0.0,0.75,160,0.2,family,0.7633333333333333
