seed,transfer,prevalence,budget,noise,level,success
9203,0.0,1.0,40,0.4,capability,0.55
9203,0.0,1.0,40,0.4,family,0.6066666666666667
9203,0.0,1.0,40,0.4,failure,0.7133333333333334
9204,0.0,1.0,40,0.4,global,0.4866666666666667
9204,0.0,1.0,40,0.4,capability,0.67
9204,0.0,1.0,40,0.4,family,0.6566666666666666
9204,0.0,1.0,40,0.4,failure,0.79
9205,0.0,1.0,40,0.4,global,0.44
9205,0.0,1.0,40,0.4,capability,0.5733333333333334
9205,0.0,1.0,40,0.4,family,0.73
9205,0.0,1.0,40,0.4,failure,0.8033333333333333
9206,0.0,1.0,40,0.4,global,0.47333333333333333
9206,0.0,1.0,40,0.4,capability,0.53
9206,0.0,1.0,40,0.4,family,0.7066666666666667
9206,0.0,1.0,40,0.4,failure,0.72
9201,0.25,0.25,40,0.4,global,0.48
9201,0.25,0.25,40,0.4,capability,0.5433333333333333
9201,0.25,0.25,40,0.4,family,0.49333333333333335
9201,0.25,0.25,40,0.4,failure,0.48333333333333334
9202,0.25,0.25,40,0.4,global,0.44666666666666666
9202,0.25,0.25,40,0.4,capability,0.43
9202,0.25,0.25,40,0.4,family,0.4766666666666667
9202,0.25,0.25,40,0.4,failure,0.49
9203,0.25,0.25,40,0.4,global,0.49
9203,0.25,0.25,40,0.4,capability,0.53
9203,0.25,0.25,40,0.4,family,0.51
9203,0.25,0.25,40,0.4,failure,0.51
9204,0.25,0.25,40,0.4,global,0.48
9204,0.25,0.25,40,0.4,capability,0.5233333333333333
9204,0.25,0.25,40,0.4,family,0.53
9204,0.25,0.25,40,0.4,failure,0.53
9205,0.25,0.25,40,0.4,global,0.5
9205,0.25,0.25,40,0.4,capability,0.59
9205,0.25,0.25,40,0.4,family,0.5466666666666666
9205,0.25,0.25,40,0.4,failure,0.55
9206,0.25,0.25,40,0.4,global,0.49
9206,0.25,0.25,40,0.4,capability,0.5166666666666667
9206,0.25,0.25,40,0.4,family,0.49
9206,0.25,0.25,40,0.4,failure,0.47333333333333333
9201,0.25,0.5,40,0.4,global,0.5466666666666666
9201,0.25,0.5,40,0.4,capability,0.5866666666666667
9201,0.25,0.5,40,0.4,family,0.5833333333333334
9201,0.25,0.5,40,0.4,failure,0.6266666666666667
9202,0.25,0.5,40,0.4,global,0.43666666666666665
9202,0.25,0.5,40,0.4,capability,0.4633333333333333
9202,0.25,0.5,40,0.4,family,0.5066666666666667
9202,0.25,0.5,40,0.4,failure,0.58
9203,0.25,0.5,40,0.4,global,0.5333333333333333
9203,0.25,0.5,40,0.4,capability,0.6166666666666667
9203,0.25,0.5,40,0.4,family,0.57
9203,0.25,0.5,40,0.4,failure,0.5766666666666667
9204,0.25,0.5,40,0.4,global,0.4633333333333333
9204,0.25,0.5,40,0.4,capability,0.5233333333333333
9204,0.25,0.5,40,0.4,family,0.6133333333333333
9204,0.25,0.5,40,0.4,failure,0.6333333333333333
9205,0.25,0.5,40,0.4,global,0.48
9205,0.25,0.5,40,0.4,capability,0.56
9205,0.25,0.5,40,0.4,family,0.5333333333333333
9205,0.25,0.5,40,0.4,failure,0.5666666666666667
9206,0.25,0.5,40,0.4,global,0.5966666666666667
9206,0.25,0.5,40,0.4,capability,0.6666666666666666
9206,0.25,0.5,40,0.4,family,0.65
9206,0.25,0.5,40,0.4,failure,0.6333333333333333
9201,0.25,0.75,40,0.4,global,0.51
9201,0.25,0.75,40,0.4,capability,0.5666666666666667
