noise,budget,transfer,prevalence,level,mean,std,count
0.0,80,0.25,0.5,family,0.6433333333333334,0.027728845790780575,6
0.0,80,0.25,0.5,global,0.6366666666666667,0.03852848873813301,6
0.0,80,0.25,0.75,capability,0.7622222222222222,0.026048388021497955,6
0.0,80,0.25,0.75,failure,0.7205555555555555,0.014669191701835069,6
0.0,80,0.25,0.75,family,0.7333333333333334,0.020110804171997794,6
0.0,80,0.25,0.75,global,0.6638888888888889,0.034923196154270184,6
0.0,80,0.25,1.0,capability,0.8027777777777777,0.04896332716847791,6
0.0,80,0.25,1.0,failure,0.8116666666666666,0.010055402085998894,6
0.0,80,0.25,1.0,family,0.8105555555555556,0.017564695229878552,6
0.0,80,0.25,1.0,global,0.6477777777777778,0.0619916362339547,6
0.0,80,0.5,0.25,capability,0.6672222222222223,0.0118164981965737,6
0.0,80,0.5,0.25,failure,0.5599999999999999,0.02394437999475728,6
0.0,80,0.5,0.25,family,0.5755555555555555,0.021046685320091685,6
0.0,80,0.5,0.25,global,0.6633333333333333,0.0331997322613033,6
0.0,80,0.5,0.5,capability,0.715,0.026645825188948435,6
0.0,80,0.5,0.5,failure,0.6366666666666666,0.033199732261303266,6
0.0,80,0.5,0.5,family,0.6516666666666667,0.02562550812504342,6
0.0,80,0.5,0.5,global,0.6655555555555556,0.053693230140893576,6
0.0,80,0.5,0.75,capability,0.7733333333333334,0.027888667551135827,6
0.0,80,0.5,0.75,failure,0.7377777777777778,0.01186342028003482,6
0.0,80,0.5,0.75,family,0.7444444444444445,0.01996292860575613,6
0.0,80,0.5,0.75,global,0.6938888888888889,0.06385458015998073,6
0.0,80,0.5,1.0,capability,0.8116666666666666,0.023166067138525377,6
0.0,80,0.5,1.0,failure,0.8172222222222222,0.012722100921304281,6
0.0,80,0.5,1.0,family,0.8211111111111111,0.014555131461166946,6
0.0,80,0.5,1.0,global,0.6805555555555555,0.07334595850917505,6
0.0,80,0.75,0.25,capability,0.6738888888888889,0.023325395475191316,6
0.0,80,0.75,0.25,failure,0.5833333333333334,0.029135697844549543,6
0.0,80,0.75,0.25,family,0.5844444444444444,0.022965352324913473,6
0.0,80,0.75,0.25,global,0.6877777777777778,0.02473563930550111,6
0.0,80,0.75,0.5,capability,0.7172222222222221,0.04317492413512818,6
0.0,80,0.75,0.5,failure,0.6511111111111111,0.026887970599562966,6
0.0,80,0.75,0.5,family,0.6633333333333333,0.024855135843076324,6
0.0,80,0.75,0.5,global,0.6555555555555556,0.03588045996649718,6
0.0,80,0.75,0.75,capability,0.775,0.04209776980105029,6
0.0,80,0.75,0.75,failure,0.7505555555555555,0.021747711671873927,6
0.0,80,0.75,0.75,family,0.755,0.009831920802501759,6
0.0,80,0.75,0.75,global,0.68,0.046523590192981065,6
0.0,80,0.75,1.0,capability,0.8094444444444444,0.0503064681799542,6
0.0,80,0.75,1.0,failure,0.8250000000000001,0.00809663853432739,6
0.0,80,0.75,1.0,family,0.8233333333333333,0.015202339001321842,6
0.0,80,0.75,1.0,global,0.6516666666666667,0.055327308908992776,6
0.0,80,1.0,0.25,capability,0.6961111111111111,0.025422358196994586,6
0.0,80,1.0,0.25,failure,0.5922222222222222,0.028258069971576597,6
0.0,80,1.0,0.25,family,0.6027777777777777,0.016113026706042168,6
0.0,80,1.0,0.25,global,0.7088888888888888,0.040203187638498214,6
0.0,80,1.0,0.5,capability,0.7322222222222222,0.03110317359060661,6
0.0,80,1.0,0.5,failure,0.6633333333333333,0.027888667551135844,6
0.0,80,1.0,0.5,family,0.6683333333333333,0.022973414586817065,6
0.0,80,1.0,0.5,global,0.6772222222222223,0.04795445369962658,6
0.0,80,1.0,0.75,capability,0.8005555555555556,0.008277591347639642,6
0.0,80,1.0,0.75,failure,0.758888888888889,0.012938601447119679,6
0.0,80,1.0,0.75,family,0.7644444444444445,0.014246507044288544,6
0.0,80,1.0,0.75,global,0.6938888888888889,0.04790809102004783,6
0.0,80,1.0,1.0,capability,0.8372222222222222,0.015693829879806127,6
0.0,80,1.0,1.0,failure,0.8277777777777778,0.01167460047694553,6
0.0,80,1.0,1.0,family,0.8294444444444444,0.011626916409142433,6
0.0,80,1.0,1.0,global,0.6611111111111111,0.0755032498687357,6
0.0,160,0.0,0.25,capability,0.6905555555555556,0.03207052413850637,6
0.0,160,0.0,0.25,failure,0.5738888888888889,0.02360947706763975,6
0.0,160,0.0,0.25,family,0.5750000000000001,0.03181543999730665,6
0.0,160,0.0,0.25,global,0.8144444444444444,0.02315807194686762,6
0.0,160,0.0,0.5,capability,0.7422222222222222,0.01973903821440217,6
0.0,160,0.0,0.5,failure,0.668888888888889,0.031174538518667,6
0.0,160,0.0,0.5,family,0.668888888888889,0.029262540838011605,6
0.0,160,0.0,0.5,global,0.8422222222222223,0.022177733244221596,6
0.0,160,0.0,0.75,capability,0.7888888888888889,0.02296535232491345,6
0.0,160,0.0,0.75,failure,0.7327777777777778,0.027521035725557426,6
0.0,160,0.0,0.75,family,0.7355555555555555,0.02315807194686761,6
0.0,160,0.0,0.75,global,0.8444444444444444,0.026218455473338006,6
0.0,160,0.0,1.0,capability,0.8294444444444444,0.022252756799668323,6
0.0,160,0.0,1.0,failure,0.8138888888888888,0.018429043101301532,6
0.0,160,0.0,1.0,family,0.8105555555555556,0.027601663932666293,6
0.0,160,0.0,1.0,global,0.8544444444444445,0.023444181146494103,6
0.0,160,0.25,0.25,capability,0.7011111111111111,0.024555304171664523,6
0.0,160,0.25,0.25,failure,0.6027777777777777,0.045773192866405875,6
0.0,160,0.25,0.25,family,0.6,0.03602468289628344,6
0.0,160,0.25,0.25,global,0.8377777777777777,0.026555323104514934,6
0.0,160,0.25,0.5,capability,0.7494444444444444,0.020156792807792992,6
0.0,160,0.25,0.5,failure,0.6838888888888889,0.030580797654495288,6
0.0,160,0.25,0.5,family,0.688888888888889,0.028258069971576587,6
0.0,160,0.25,0.5,global,0.8494444444444444,0.018787308560913193,6
0.0,160,0.25,0.75,capability,0.7977777777777778,0.02570487776163779,6
0.0,160,0.25,0.75,failure,0.7472222222222222,0.01289559212662594,6
0.0,160,0.25,0.75,family,0.7466666666666667,0.026915505650915116,6
0.0,160,0.25,0.75,global,0.8483333333333333,0.020736441353327705,6
0.0,160,0.25,1.0,capability,0.835,0.017352553446427173,6
0.0,160,0.25,1.0,failure,0.8233333333333333,0.023758039574940635,6
0.0,160,0.25,1.0,family,0.8177777777777778,0.0270527605218368,6
0.0,160,0.25,1.0,global,0.8522222222222222,0.024098563043068375,6
0.0,160,0.5,0.25,capability,0.7066666666666667,0.03379677828169756,6
0.0,160,0.5,0.25,failure,0.6211111111111111,0.023061913447323792,6
0.0,160,0.5,0.25,family,0.611111111111111,0.017083672083362263,6
0.0,160,0.5,0.25,global,0.8511111111111113,0.008861067572167548,6
0.0,160,0.5,0.5,capability,0.7555555555555555,0.025092421756969355,6
0.0,160,0.5,0.5,failure,0.7005555555555555,0.03611196580185126,6
0.0,160,0.5,0.5,family,0.6877777777777778,0.028803291992923825,6
0.0,160,0.5,0.5,global,0.86,0.018618986725025294,6
0.0,160,0.5,0.75,capability,0.7983333333333333,0.027628487713469485,6
0.0,160,0.5,0.75,failure,0.7555555555555555,0.019962928605756183,6
0.0,160,0.5,0.75,family,0.7527777777777778,0.02619725741936158,6
0.0,160,0.5,0.75,global,0.8555555555555555,0.034297176214614165,6
0.0,160,0.5,1.0,capability,0.8394444444444445,0.018905221696859497,6
0.0,160,0.5,1.0,failure,0.8261111111111111,0.021849654629018927,6
0.0,160,0.5,1.0,family,0.8227777777777777,0.023420472209554583,6
0.0,160,0.5,1.0,global,0.8516666666666667,0.038858718455450865,6
0.0,160,0.75,0.25,capability,0.7216666666666667,0.029344694769431707,6
0.0,160,0.75,0.25,failure,0.65,0.020869967789998053,6
0.0,160,0.75,0.25,family,0.6294444444444445,0.029395136911980424,6
0.0,160,0.75,0.25,global,0.8644444444444445,0.013770607453181908,6
0.0,160,0.75,0.5,capability,0.7683333333333334,0.027223355985460537,6
0.0,160,0.75,0.5,failure,0.7188888888888889,0.025003703429395938,6
0.0,160,0.75,0.5,family,0.7066666666666667,0.01920648038785059,6
0.0,160,0.75,0.5,global,0.8633333333333333,0.021807236311728158,6
0.0,160,0.75,0.75,capability,0.81,0.026415483674878584,6
0.0,160,0.75,0.75,failure,0.773888888888889,0.01878730856091321,6
0.0,160,0.75,0.75,family,0.7644444444444445,0.020511965794158805,6
0.0,160,0.75,0.75,global,0.8577777777777778,0.037396771498600254,6
0.0,160,0.75,1.0,capability,0.8477777777777779,0.01759629590651481,6
0.0,160,0.75,1.0,failure,0.835,0.022681367781605358,6
0.0,160,0.75,1.0,family,0.8327777777777778,0.023983018683751776,6
0.0,160,0.75,1.0,global,0.8633333333333333,0.03546516287538772,6
0.0,160,1.0,0.25,capability,0.7238888888888889,0.033227610116800116,6
0.0,160,1.0,0.25,failure,0.6483333333333333,0.02030325644378811,6
