seed,level,entropy_norm,effective_support_norm,coverage,js_from_global,state_repair,broad_eval
9401,global,0.5842202220640482,0.09986406914014849,0.13725490196078433,0.0,0.40540874704684426,0.7225
9401,capability,0.45769807950019553,0.049536878701133984,0.058823529411764705,0.4760798945502673,0.6140707328326276,0.69
9401,family,0.27176426987992525,0.01767956009483229,0.047058823529411764,0.601514829553287,0.5933118868064424,0.6275
9401,failure,0.18310657597663857,0.010817157469771738,0.03529411764705882,0.6935519526753068,0.6098822202918779,0.605
9402,global,0.5960432588972775,0.10662569411787065,0.13333333333333333,0.0,0.47903273754143266,0.68
9402,capability,0.4707154387124612,0.05324213182431753,0.07058823529411765,0.5282270784320376,0.5978924410588948,0.6425
9402,family,0.2713226943992196,0.01763635310758659,0.043137254901960784,0.6955668863628702,0.6870591202924479,0.5325
9402,failure,0.22569912277029194,0.013696633257493424,0.03137254901960784,0.6900479446796879,0.5392749655039203,0.5225
9403,global,0.5682196803221512,0.09139097520507403,0.13725490196078433,0.0,0.2735658723064753,0.62
9403,capability,0.4720243714017187,0.05362970838785779,0.0784313725490196,0.4777143849125165,0.5891989059339033,0.665
9403,family,0.24967215423780306,0.015642490167947873,0.03529411764705882,0.7180830928216513,0.6028748181968255,0.57
9403,failure,0.1770979904199778,0.010462928304210545,0.03137254901960784,0.7542938563687595,0.5795795542405136,0.5425
9404,global,0.6069422560344624,0.11326370032331752,0.1450980392156863,0.0,0.4692049278526327,0.7325
9404,capability,0.46151544881459694,0.050595895978888444,0.06666666666666667,0.5263422235196223,0.5178093603501706,0.6825
9404,family,0.2513007046670293,0.015784290408501003,0.03529411764705882,0.6711174959451933,0.6474923370816219,0.56
9404,failure,0.230912228535449,0.014098060686195344,0.0392156862745098,0.7023916213734525,0.5997753572743562,0.57
9405,global,0.5599312256868147,0.08728845618269435,0.12941176470588237,0.0,0.33230978167329833,0.7325
9405,capability,0.4737638805839907,0.05414914881577711,0.07450980392156863,0.584502825999291,0.5289533431209095,0.665
9405,family,0.2721390697697971,0.017716316309451263,0.043137254901960784,0.7169423800052466,0.5702085036556845,0.575
9405,failure,0.20298916876067033,0.0120770651851311,0.03137254901960784,0.7637208110074293,0.6237372897383329,0.585
9406,global,0.5977868609461772,0.10766087861971332,0.1450980392156863,0.0,0.5164249017651421,0.7425
9406,capability,0.4743320714764983,0.054319905838831596,0.07058823529411765,0.488532074937249,0.5589123951141661,0.6475
9406,family,0.211697670672809,0.012674147881304824,0.0196078431372549,0.6349600918435371,0.5536662363568623,0.5325
9406,failure,0.22393696987857142,0.013563542591133728,0.03529411764705882,0.6257057897033133,0.6146692470340533,0.5425
9407,global,0.5877474855140642,0.10183516218658327,0.13333333333333333,0.0,0.4058995692287166,0.775
9407,capability,0.5006461095841428,0.0628470357403194,0.09019607843137255,0.4838530458607087,0.5017737134562744,0.71
9407,family,0.24290178850311153,0.015066512404974667,0.03137254901960784,0.669844755635799,0.5712298506247837,0.5975
9407,failure,0.1948867678375343,0.01154682694532093,0.03137254901960784,0.7364930836470114,0.6018075367925702,0.58
9408,global,0.5865970678526387,0.1011880514910358,0.13333333333333333,0.0,0.3056066202563494,0.7125
9408,capability,0.4620233441840646,0.0507384927293896,0.06666666666666667,0.5321421076917893,0.5721796712677403,0.7025
9408,family,0.25295065511731085,0.015929264908429056,0.0392156862745098,0.6926673727089363,0.6018110966263521,0.585
9408,failure,0.2017788511659039,0.011996339072769823,0.03529411764705882,0.7211432111092634,0.5228680952153408,0.575
9409,global,0.5711070292046501,0.09286495073511768,0.13333333333333333,0.0,0.4400247322690361,0.7625
9409,capability,0.4722862874911928,0.05370760016510734,0.07450980392156863,0.5371562883534339,0.5315557145889256,0.7125
9409,family,0.2555615358090612,0.0161613979433541,0.0392156862745098,0.5985871695874976,0.5269555057012656,0.61
9409,failure,0.2156735087382017,0.012956472697167095,0.03137254901960784,0.6798242145546257,0.5953203525413361,0.6025
9410,global,0.5520946599968625,0.08357912155551356,0.11372549019607843,0.0,0.3402231896610441,0.6725
9410,capability,0.5043314340660429,0.06414365158300217,0.09411764705882353,0.572660553370197,0.6311518965354842,0.6975
9410,family,0.2598516455893155,0.01655019997244414,0.0392156862745098,0.5857629623329662,0.5858784376823112,0.585
9410,failure,0.23010946997745244,0.014035487603901773,0.0392156862745098,0.7097784399173146,0.5846696629186947,0.6075
9411,global,0.5503984669766975,0.0827972372420617,0.12156862745098039,0.0,0.3407449622607127,0.7075
9411,capability,0.4693371242133731,0.05283703845186276,0.07450980392156863,0.5703108087291606,0.6284264393267686,0.68
9411,family,0.2469712697993256,0.015410122949671305,0.03137254901960784,0.7405837331539797,0.5291116520947653,0.5525
9411,failure,0.21027946078269374,0.012574936221882129,0.0392156862745098,0.7335132994961417,0.6162732944310096,0.56
9412,global,0.5744804927790597,0.09461722537181695,0.13333333333333333,0.0,0.26928657205331563,0.6925
9412,capability,0.4596447010933185,0.05007411258699953,0.07058823529411765,0.5003573485498377,0.5846475081947667,0.705
9412,family,0.26126019324099253,0.01667988193104568,0.0392156862745098,0.7398150562373994,0.5938458002073783,0.6075
9412,failure,0.22548081934177291,0.013680074774815212,0.03529411764705882,0.7561132405065986,0.5500634076598725,0.595
9413,global,0.5709659402572751,0.0927923762647954,0.12941176470588237,0.0,0.3001582711944148,0.6975
9413,capability,0.4646776312095163,0.051490274845987685,0.07058823529411765,0.5460483030981262,0.6648785538958746,0.6775
9413,family,0.24230465887240468,0.01501674192241739,0.03137254901960784,0.6401086741688901,0.5452553210076512,0.5425
9413,failure,0.22119175327266,0.01335877580734265,0.03529411764705882,0.7190936683067529,0.5537549602818663,0.5225
9414,global,0.6092378800372217,0.11471369194459863,0.1450980392156863,0.0,0.41276869685766054,0.715
9414,capability,0.47049166847152046,0.053176154098232106,0.06666666666666667,0.5086940873303238,0.5431052240657512,0.665
9414,family,0.25148757718363524,0.01580064366242965,0.03529411764705882,0.6187202834425916,0.5888532655965073,0.565
9414,failure,0.20371843925760905,0.012125968316124305,0.03137254901960784,0.6974504394378994,0.6236879465155133,0.565
9415,global,0.6013255103762454,0.10979279012858459,0.1411764705882353,0.0,0.37701211099565135,0.73
9415,capability,0.4921284978217003,0.05994967368483413,0.0784313725490196,0.49612554008241144,0.5882664185371581,0.665
9415,family,0.25182108448301377,0.015829871069588053,0.03529411764705882,0.7293016456004735,0.5230781564833427,0.54
9415,failure,0.2064513209572537,0.01231099680933964,0.0392156862745098,0.682257303741162,0.6061024632290155,0.5425
9416,global,0.5955315027903495,0.10632375590797923,0.12941176470588237,0.0,0.4313376079711425,0.75
9416,capability,0.4828105246021972,0.056932826647955376,0.07058823529411765,0.5106298932699976,0.6270965578422631,0.715
9416,family,0.2498816377674489,0.015660658567371224,0.03529411764705882,0.7136490060482676,0.5578245944399381,0.6175
9416,failure,0.17487129675866617,0.01033462259866646,0.027450980392156862,0.6885013143760941,0.49391301090872164,0.5875
9417,global,0.5774233500972129,0.09617281158222873,0.13725490196078433,0.0,0.3518639619271081,0.68
9417,capability,0.47956541341247866,0.055918209400903,0.07450980392156863,0.49170352258773936,0.5953864413252705,0.6675
9417,family,0.28410328534286083,0.01893066155320792,0.043137254901960784,0.5797826190801977,0.5759565961068132,0.56
9417,failure,0.18919609938921278,0.011188396139584875,0.03529411764705882,0.7202763307404446,0.6594110869194685,0.5525
9418,global,0.5973911746572051,0.10742507976201708,0.13333333333333333,0.0,0.35804187423969763,0.79
9418,capability,0.4754408389782667,0.05465467321806068,0.07450980392156863,0.5517900958810819,0.5880428591888706,0.72
9418,family,0.24868265258287214,0.01555695570600921,0.0392156862745098,0.6803058971806065,0.5708338790784604,0.61
9418,failure,0.22316847710609528,0.013505906124004433,0.03137254901960784,0.7286093253034847,0.587334291673606,0.615
9419,global,0.5929082493602693,0.10478939789312564,0.13725490196078433,0.0,0.3233072821648244,0.755
9419,capability,0.4762399586655839,0.05489722800480977,0.07058823529411765,0.511834057360536,0.5764102251216727,0.6725
9419,family,0.2573498797919982,0.016322348478729504,0.03529411764705882,0.7513948301934839,0.6181417284350147,0.615
9419,failure,0.16837813345303185,0.009969389481367536,0.03137254901960784,0.7336893841502947,0.6093184121511368,0.5875
9420,global,0.5605948681656658,0.08761004325435874,0.12156862745098039,0.0,0.39183972679675605,0.7525
9420,capability,0.4816855544316866,0.05657902518886281,0.08235294117647059,0.4568668629614769,0.5649855302629914,0.73
9420,family,0.2385842207665141,0.014710327215731275,0.03529411764705882,0.5576287343914811,0.5869088014978847,0.6225
9420,failure,0.15245320943954627,0.009127347673206875,0.027450980392156862,0.6841194088272284,0.6419381645338393,0.5725
9421,global,0.5839031498364665,0.09968876393949871,0.1450980392156863,0.0,0.3304144099195639,0.6975
9421,capability,0.47684050810164214,0.05508021945908004,0.07450980392156863,0.5093568057606497,0.5580932873737394,0.67
9421,family,0.2917208486507823,0.019746847094432758,0.050980392156862744,0.6687590873136358,0.5793913534982489,0.5975
9421,failure,0.22204841814483653,0.013422340746139239,0.03529411764705882,0.7402686755098946,0.5719930406353728,0.565
9422,global,0.5740156607762767,0.09437382802682924,0.12549019607843137,0.0,0.3389970767963996,0.7075
9422,capability,0.4687569166133917,0.052667435765485736,0.07058823529411765,0.6455503912180784,0.584890087938869,0.695
9422,family,0.29151454796637244,0.019724286059073334,0.054901960784313725,0.7443639095402407,0.5759487104484997,0.5625
9422,failure,0.19094382074678562,0.0112972774933853,0.03137254901960784,0.6944666409800847,0.5566143685983279,0.56
9423,global,0.5661706578849837,0.0903591749356727,0.12156862745098039,0.0,0.3739813190734817,0.705
9423,capability,0.4620090887490998,0.05073448489573645,0.06666666666666667,0.47943571318449363,0.5845257208580078,0.6775
9423,family,0.22992076331951358,0.014020818739676538,0.027450980392156862,0.6215955083119078,0.5616647342732981,0.59
9423,failure,0.20043506104440117,0.011907342548975535,0.03137254901960784,0.6781321720256458,0.6324548565817816,0.61
9424,global,0.5817847877613859,0.09852541836686107,0.1411764705882353,0.0,0.5020631541892973,0.79
9424,capability,0.4837836084007844,0.05724064407451029,0.0784313725490196,0.49105496707367263,0.5841478622827383,0.675
9424,family,0.2547567340127327,0.016089484740285057,0.03529411764705882,0.6274269342763078,0.583943490251611,0.58
9424,failure,0.24107834694676714,0.014915044317306248,0.0392156862745098,0.6364539468459945,0.5213606501172938,0.62
9425,global,0.599800332688639,0.10886879610391423,0.13725490196078433,0.0,0.4330377738675709,0.725
9425,capability,0.478414801826951,0.05556281789494473,0.07450980392156863,0.4733794687762925,0.5943016555755057,0.68
9425,family,0.25717391792058675,0.016306441111343755,0.0392156862745098,0.6341673978722305,0.6225231091632175,0.595
9425,failure,0.1975134536435786,0.011716121908094805,0.03137254901960784,0.6913387111972449,0.584323139456735,0.5925
9426,global,0.5804230889204702,0.09778478938916767,0.12156862745098039,0.0,0.34886596462763564,0.695
9426,capability,0.4514844232765996,0.04786027889314026,0.06274509803921569,0.6319035274115249,0.6483910534236135,0.7
9426,family,0.2645971941444392,0.016991182276753565,0.043137254901960784,0.7006926426841005,0.6578219383863427,0.5825
9426,failure,0.18980931345279523,0.011226478759494615,0.0392156862745098,0.7717329753563058,0.601773360801705,0.5825
9427,global,0.5998526746075907,0.10890037702918164,0.1411764705882353,0.0,0.2956425072281582,0.7375
9427,capability,0.49065959472566556,0.05946368910733747,0.08235294117647059,0.5607126689003158,0.5537524165642862,0.715
9427,family,0.28660505114017826,0.01919492374057181,0.047058823529411764,0.7580336218032531,0.5947450039637122,0.6525
9427,failure,0.19338917784042534,0.011451401623246035,0.03137254901960784,0.7935107657081227,0.6044914947081863,0.6325
9428,global,0.5885633370610809,0.1022965857473661,0.1450980392156863,0.0,0.4203514154067865,0.7125
9428,capability,0.47880010648225796,0.05568157539131806,0.07450980392156863,0.4926965460274855,0.6141099629503126,0.7125
9428,family,0.23396896107224396,0.014338889744684329,0.027450980392156862,0.6038963000787657,0.6152370526622108,0.5825
9428,failure,0.19444947100130142,0.011518880812535218,0.0392156862745098,0.6359023710276727,0.6123511168439509,0.57
9429,global,0.5965115232760247,0.10690272320411674,0.13725490196078433,0.0,0.3548733676308917,0.7375
9429,capability,0.48281052460219703,0.05693282664795533,0.0784313725490196,0.4588256864555042,0.5633130355053091,0.6925
9429,family,0.2709074160933018,0.017595815581656273,0.0392156862745098,0.6441361683928845,0.5244229592534052,0.575
9429,failure,0.23777014358319554,0.014644118138462427,0.03137254901960784,0.6847414483453693,0.62230237681773,0.6
9430,global,0.554766769392799,0.08482587357094742,0.12156862745098039,0.0,0.44768176041144747,0.685
9430,capability,0.47661826930359547,0.05501243081274856,0.0784313725490196,0.43528256248106073,0.5032931136400228,0.6475
9430,family,0.27560944653273567,0.018060302771358575,0.047058823529411764,0.6490060585288688,0.6148022171863944,0.585
9430,failure,0.2121768760917993,0.012707847581537257,0.043137254901960784,0.6542639525443535,0.5511542602454664,0.5575
9431,global,0.5756746086633809,0.09524537502723864,0.12156862745098039,0.0,0.26564415820976905,0.68
9431,capability,0.4785685891319444,0.05561018737481748,0.0784313725490196,0.49460119832675853,0.5907561961807248,0.6775
9431,family,0.25836106015346283,0.016414062844944715,0.0392156862745098,0.6612510114385153,0.6159564207590987,0.565
9431,failure,0.19684789766104432,0.011672992183801578,0.03137254901960784,0.7755416934489384,0.6135890890825273,0.54
9432,global,0.5656003132639837,0.09007405189440623,0.13725490196078433,0.0,0.3567209679923603,0.7075
9432,capability,0.45084821511795925,0.04769184947058445,0.06274509803921569,0.5259123857209871,0.5960884142842235,0.665
9432,family,0.22162431442125977,0.013390834334717362,0.023529411764705882,0.6546460867893851,0.5756352737198298,0.5975
9432,failure,0.20750440630044956,0.012383046704840807,0.03529411764705882,0.6803029137413683,0.5784370116688564,0.6075
9433,global,0.5839703820465943,0.09972591004656173,0.12941176470588237,0.0,0.27372374720983944,0.6825
