kind,comparison,delta_pp,ci_lo_pp,ci_hi_pp,p_t,p_wilcoxon,p_holm
tabular,difficulty-uniform,0.0,0.0,0.0,,1.0,1.0
tabular,difficulty-capability,0.050000000000000044,0.0,0.15000000000000013,0.329876800921125,0.31731050786291415,1.0
tabular,difficulty-family,0.13333333333333308,0.0,0.39999999999999925,0.3298768009211249,0.31731050786291415,1.0
tabular,difficulty-failure,0.14999999999999958,0.0,0.4333333333333323,0.27517342168074344,0.17971249487899976,1.0
tabular,difficulty-random_gran,0.0,0.0,0.0,,1.0,1.0
tabular,capability-failure,0.09999999999999952,-0.11666666666666713,0.4166666666666657,0.49961472220101566,0.5929800980174267,1.0
tabular,family-failure,0.016666666666666496,-0.38333333333333275,0.4166666666666657,0.9324977182859738,0.7854947471183542,1.0
linear,difficulty-uniform,0.10000000000000009,0.016666666666666496,0.20000000000000073,0.055256843138993206,0.0633177868300456,0.9393663333628846
linear,difficulty-capability,0.08333333333333304,0.016666666666666496,0.16666666666666663,0.05633664144705139,0.05878172135535886,0.9393663333628846
linear,difficulty-family,0.13333333333333364,0.016666666666666496,0.26666666666666783,0.05694535069546595,0.06559969214707187,0.9393663333628846
linear,difficulty-failure,0.16666666666666663,0.03333333333333299,0.31666666666666676,0.03754054954852531,0.041226833337163676,0.6757298918734556
linear,difficulty-random_gran,0.08333333333333359,0.0,0.21666666666666723,0.17131650734701973,0.17971249487899976,1.0
linear,capability-failure,0.08333333333333359,-0.04999999999999949,0.23333333333333425,0.261719090171477,0.2228009911811345,1.0
linear,family-failure,0.03333333333333299,-0.11666666666666713,0.18333333333333257,0.6662641376986616,0.5774686624272996,1.0
nonlinear,difficulty-uniform,0.16666666666666496,0.06666666666666599,0.28333333333332933,0.00842803889140894,0.006603026251426383,0.17698881671958774
nonlinear,difficulty-capability,0.11666666666666435,0.016666666666664276,0.2499999999999963,0.06921152398163485,0.16849346784241026,0.9393663333628846
nonlinear,difficulty-family,0.13333333333333086,0.016666666666665386,0.26666666666666394,0.05694535069546801,0.12545785464424308,0.9393663333628846
nonlinear,difficulty-failure,0.14999999999999902,0.03333333333333244,0.2666666666666667,0.024781543019314685,0.056853793612241695,0.470849317366979
nonlinear,difficulty-random_gran,0.11666666666666549,0.03333333333333355,0.19999999999999904,0.015271361252156172,0.026014479622894226,0.3054272250431234
nonlinear,capability-failure,0.03333333333333466,-0.06666666666666543,0.13333333333333586,0.5408842575449482,0.3482016794131262,1.0
nonlinear,family-failure,0.016666666666668162,-0.09999999999999898,0.13333333333333475,0.7894278633030798,0.4966470260957676,1.0
