metric,outcome,rho,p
entropy_norm,state_repair,-0.5842552443454823,5.055153238938065e-16
entropy_norm,broad_eval,0.8333738817221279,1.5647096873739933e-42
effective_support_norm,state_repair,-0.584361145231278,4.979791122396843e-16
effective_support_norm,broad_eval,0.8333400609776053,1.5877471513904885e-42
coverage,state_repair,-0.5617328969196411,1.0939475507120533e-14
coverage,broad_eval,0.81949245529073,4.855853813621765e-40
js_from_global,state_repair,0.5813160760474293,7.653119822033986e-16
js_from_global,broad_eval,-0.807405720112722,4.871007302661188e-38
