seed,level,support_entropy,coverage,state_repair,heldout,external,target_success,all_skill_gain
9121,capability,0.5072437764391771,0.09411764705882353,0.5771798460099462,0.63,0.608,0.844,0.3183691500982605
9121,family,0.2492082199113786,0.03137254901960784,0.5863392600248258,0.486,0.488,0.838,0.1829820727623411
9121,failure,0.18648819179589365,0.03137254901960784,0.5984095715794004,0.474,0.454,0.836,0.15540928510881546
9122,global,0.5448174659320548,0.11372549019607843,0.3995347832091432,0.682,0.668,0.758,0.353012333698885
9122,capability,0.49059968125962505,0.08235294117647059,0.614520679907876,0.612,0.628,0.834,0.31496464886757924
9122,family,0.22989947977476655,0.027450980392156862,0.5529270038627827,0.466,0.47,0.82,0.160901038390697
9122,failure,0.2190600958428131,0.043137254901960784,0.5392916525061204,0.44,0.466,0.808,0.1633100252306377
9123,global,0.5462228629956861,0.11764705882352941,0.46020185439389705,0.718,0.716,0.778,0.3733424465633248
9123,capability,0.4445439306991909,0.058823529411764705,0.6231497497559138,0.628,0.56,0.836,0.32241352012901564
9123,family,0.29469577814067766,0.050980392156862744,0.5915683215635703,0.548,0.492,0.83,0.18086934017836573
9123,failure,0.20855357249813108,0.0392156862745098,0.6598272722138774,0.516,0.482,0.83,0.17790802909940107
9124,global,0.569363427149795,0.12941176470588237,0.26870364268247465,0.774,0.704,0.676,0.3874410138821292
9124,capability,0.4582244137350826,0.07058823529411765,0.5764900528753784,0.648,0.58,0.84,0.3026461245279938
9124,family,0.24881949681318474,0.03529411764705882,0.5695653583838309,0.512,0.456,0.824,0.17050094310030633
9124,failure,0.16338094555252755,0.03137254901960784,0.5858647391263855,0.51,0.44,0.826,0.14333247097451796
9125,global,0.6057281104677168,0.13725490196078433,0.35600761344146953,0.744,0.684,0.654,0.41063535510512844
9125,capability,0.4631726896898459,0.06274509803921569,0.6078076047331016,0.604,0.568,0.83,0.3095341567247836
9125,family,0.2579602558739984,0.0392156862745098,0.6159761182213928,0.5,0.432,0.81,0.1909902456003445
9125,failure,0.17020590709016448,0.03137254901960784,0.6148551978949595,0.496,0.424,0.808,0.1548996537117425
9126,global,0.5831999357251251,0.13725490196078433,0.40620289943351306,0.72,0.644,0.628,0.38942913364301446
9126,capability,0.48027466761429977,0.0784313725490196,0.5564041939263835,0.642,0.586,0.852,0.3102846594553003
9126,family,0.23650997577002458,0.03137254901960784,0.7032068922142549,0.458,0.422,0.822,0.19497023315053078
9126,failure,0.1626428114802181,0.03137254901960784,0.5307326004173423,0.488,0.428,0.832,0.14344545968861436
9127,global,0.601390134855075,0.14901960784313725,0.47438545776780144,0.712,0.7,0.762,0.40086286645357533
9127,capability,0.4749418531606878,0.07450980392156863,0.5511634239561499,0.598,0.612,0.832,0.31247869247869536
9127,family,0.22204955033330798,0.023529411764705882,0.6079302483732831,0.444,0.464,0.81,0.17380482316866258
9127,failure,0.20634260265734758,0.03529411764705882,0.5705510846626111,0.492,0.478,0.818,0.15728315299063078
9128,global,0.579019192364956,0.12941176470588237,0.34944069724548144,0.732,0.664,0.718,0.38002478580699456
9128,capability,0.48018033448142006,0.0784313725490196,0.5981074541348297,0.648,0.582,0.85,0.3329802160140672
9128,family,0.2510965337580047,0.03529411764705882,0.5638492708821925,0.508,0.452,0.852,0.17308047747797012
9128,failure,0.21905835829121997,0.03137254901960784,0.620788989344101,0.474,0.43,0.842,0.17547876014714744
9129,global,0.581826778969539,0.12549019607843137,0.424833361420497,0.736,0.69,0.804,0.3938962605751127
9129,capability,0.4819850567054244,0.06666666666666667,0.6341871253807632,0.672,0.614,0.822,0.32071014295989586
9129,family,0.27859334514757056,0.050980392156862744,0.5645269796705641,0.536,0.482,0.816,0.18415636332292168
9129,failure,0.18115724614594042,0.0392156862745098,0.6086216886025597,0.508,0.454,0.82,0.1564752601576551
9130,global,0.5719735156560564,0.12156862745098039,0.47711159754708427,0.702,0.65,0.792,0.3746092391100272
9130,capability,0.45759207071122543,0.06274509803921569,0.5633504583635744,0.634,0.602,0.84,0.30783834987577596
9130,family,0.2732343873534954,0.043137254901960784,0.6030486961601587,0.524,0.468,0.82,0.18729815150233636
9130,failure,0.20692350447790603,0.0392156862745098,0.6386028163234121,0.484,0.434,0.82,0.1698605326994267
9131,global,0.5953287933654395,0.13725490196078433,0.2493114370325702,0.724,0.666,0.548,0.39585850494930086
