seed,kind,method,round,heldout,external,fail_tool,fail_arg,fail_order,fail_state,fail_termination,fail_recovery,fail_constraint,fail_verification
9001,tabular,uniform,0,0.30666666666666664,0.22666666666666666,0.7288135593220338,0.6346153846153846,0.75,0.6875,0.7413793103448276,0.6896551724137931,0.6875,0.6818181818181818
9001,tabular,uniform,1,0.7266666666666667,0.6233333333333333,0.23333333333333334,0.16923076923076924,0.30158730158730157,0.19672131147540983,0.20270270270270271,0.4909090909090909,0.22,0.3023255813953488
9001,tabular,uniform,2,0.8466666666666667,0.8233333333333334,0.16393442622950818,0.0847457627118644,0.11320754716981132,0.08064516129032258,0.21666666666666667,0.19230769230769232,0.1694915254237288,0.12962962962962962
9001,tabular,uniform,3,0.8466666666666667,0.8366666666666667,0.2222222222222222,0.1,0.20634920634920634,0.23529411764705882,0.07407407407407407,0.13725490196078433,0.11475409836065574,0.12698412698412698
9001,tabular,difficulty,0,0.3,0.23,0.7288135593220338,0.6923076923076923,0.7291666666666666,0.65625,0.7931034482758621,0.6896551724137931,0.671875,0.7121212121212122
9001,tabular,difficulty,1,0.7933333333333333,0.7166666666666667,0.21666666666666667,0.16923076923076924,0.2222222222222222,0.18032786885245902,0.24324324324324326,0.14545454545454545,0.2,0.13953488372093023
9001,tabular,difficulty,2,0.8533333333333334,0.8366666666666667,0.16393442622950818,0.0847457627118644,0.11320754716981132,0.08064516129032258,0.21666666666666667,0.15384615384615385,0.1694915254237288,0.12962962962962962
9001,tabular,difficulty,3,0.8466666666666667,0.8366666666666667,0.2222222222222222,0.1,0.20634920634920634,0.23529411764705882,0.07407407407407407,0.13725490196078433,0.11475409836065574,0.12698412698412698
9001,tabular,capability,0,0.30666666666666664,0.22333333333333333,0.7288135593220338,0.6346153846153846,0.75,0.640625,0.7931034482758621,0.7241379310344828,0.671875,0.6818181818181818
9001,tabular,capability,1,0.7833333333333333,0.7166666666666667,0.23333333333333334,0.1076923076923077,0.15873015873015872,0.11475409836065574,0.24324324324324326,0.23636363636363636,0.24,0.37209302325581395
9001,tabular,capability,2,0.8533333333333334,0.8366666666666667,0.16393442622950818,0.0847457627118644,0.11320754716981132,0.08064516129032258,0.21666666666666667,0.15384615384615385,0.1694915254237288,0.12962962962962962
9001,tabular,capability,3,0.8466666666666667,0.8366666666666667,0.2222222222222222,0.1,0.20634920634920634,0.23529411764705882,0.07407407407407407,0.13725490196078433,0.11475409836065574,0.12698412698412698
