axis,value,level,mean,std,count
entangle,0.0,capability,0.717,0.018084165367443346,10
entangle,0.0,failure,0.6446666666666666,0.031158693771255304,10
entangle,0.0,family,0.6766666666666666,0.02367475083629167,10
entangle,0.0,global,0.607,0.0470736224007238,10
entangle,0.25,capability,0.7186666666666667,0.02906782192743271,10
entangle,0.25,failure,0.6559999999999999,0.03533962208186285,10
entangle,0.25,family,0.6593333333333333,0.03013549648086371,10
entangle,0.25,global,0.6736666666666666,0.03419082253586495,10
entangle,0.5,capability,0.709,0.038072380708848594,10
entangle,0.5,failure,0.653,0.032977732854117356,10
entangle,0.5,family,0.63,0.045758356182164436,10
entangle,0.5,global,0.6559999999999999,0.07646188431556224,10
entangle,0.75,capability,0.708,0.024504975559271523,10
entangle,0.75,failure,0.6756666666666666,0.0231500739939622,10
entangle,0.75,family,0.6286666666666667,0.03367235008866809,10
entangle,0.75,global,0.6946666666666667,0.03897450892158889,10
entangle,1.0,capability,0.7146666666666667,0.027764441242907497,10
entangle,1.0,failure,0.714,0.029764507822672433,10
entangle,1.0,family,0.6313333333333333,0.028029966327944057,10
entangle,1.0,global,0.7316666666666667,0.042867870497467646,10
horizon,2.0,capability,0.722,0.020798860367640153,10
horizon,2.0,failure,0.6596666666666666,0.015432049382637055,10
horizon,2.0,family,0.6679999999999999,0.018067090332602537,10
horizon,2.0,global,0.6646666666666666,0.05531503490390068,10
horizon,4.0,capability,0.717,0.028521163898471185,10
horizon,4.0,failure,0.651,0.03381321240777534,10
horizon,4.0,family,0.6663333333333333,0.031049542252247018,10
horizon,4.0,global,0.6696666666666666,0.05516417696071506,10
horizon,8.0,capability,0.725,0.020199621069664282,10
horizon,8.0,failure,0.6446666666666667,0.028117917489576223,10
horizon,8.0,family,0.6613333333333333,0.02911026292233387,10
horizon,8.0,global,0.658,0.04352379794611589,10
horizon,12.0,capability,0.73,0.033147630867058464,10
horizon,12.0,failure,0.6406666666666666,0.03261447077147969,10
horizon,12.0,family,0.6486666666666666,0.027719939785800278,10
horizon,12.0,global,0.67,0.04357482566917237,10
horizon,16.0,capability,0.6816666666666666,0.043240641605089024,10
horizon,16.0,failure,0.6206666666666667,0.045887678219165534,10
horizon,16.0,family,0.6336666666666667,0.0440664481420031,10
horizon,16.0,global,0.6393333333333333,0.03832286491519962,10
transition_noise,0.0,capability,0.725,0.03278248553762649,10
transition_noise,0.0,failure,0.6473333333333333,0.026842016078538027,10
transition_noise,0.0,family,0.662,0.02601993537726482,10
transition_noise,0.0,global,0.6046666666666667,0.05959119994689748,10
transition_noise,0.1,capability,0.722,0.02342310772098021,10
transition_noise,0.1,failure,0.6426666666666667,0.026749870196985163,10
transition_noise,0.1,family,0.644,0.02896570982522288,10
transition_noise,0.1,global,0.6506666666666667,0.033028233339536424,10
transition_noise,0.2,capability,0.732,0.02475559545179309,10
transition_noise,0.2,failure,0.659,0.024946857096883882,10
transition_noise,0.2,family,0.6643333333333333,0.02131770260709264,10
transition_noise,0.2,global,0.6643333333333333,0.04672086799464281,10
transition_noise,0.3,capability,0.7283333333333333,0.024049845357681534,10
transition_noise,0.3,failure,0.6519999999999999,0.02228878918776863,10
transition_noise,0.3,family,0.6623333333333333,0.015400016033341044,10
transition_noise,0.3,global,0.7043333333333333,0.027264140062238037,10
transition_noise,0.4,capability,0.7376666666666667,0.026249044662216014,10
transition_noise,0.4,failure,0.6596666666666666,0.022577712160884535,10
transition_noise,0.4,family,0.6719999999999999,0.02062001903939919,10
transition_noise,0.4,global,0.7116666666666667,0.026631921809348622,10
