noise,budget,transfer,prevalence,winner,winner_mean,runner_up,margin
0.4,40,1.0,0.5,failure,0.6516666666666667,capability,0.025555555555555554
0.4,40,1.0,0.75,failure,0.7022222222222222,family,0.06277777777777771
0.4,40,1.0,1.0,failure,0.7794444444444445,family,0.09277777777777785
0.4,80,0.0,0.25,capability,0.6866666666666666,global,0.06555555555555559
0.4,80,0.0,0.5,capability,0.7172222222222223,family,0.04388888888888898
0.4,80,0.0,0.75,capability,0.7694444444444444,family,0.013333333333333197
0.4,80,0.0,1.0,family,0.8166666666666668,failure,0.0011111111111111738
0.4,80,0.25,0.25,capability,0.6733333333333333,global,0.015000000000000013
0.4,80,0.25,0.5,capability,0.6905555555555556,family,0.008333333333333304
0.4,80,0.25,0.75,family,0.7561111111111112,failure,0.009444444444444589
0.4,80,0.25,1.0,family,0.8205555555555556,failure,0.0005555555555556424
0.4,80,0.5,0.25,capability,0.6977777777777777,global,0.04166666666666663
0.4,80,0.5,0.5,capability,0.7177777777777777,family,0.03166666666666673
0.4,80,0.5,0.75,capability,0.7727777777777778,failure,0.01055555555555554
0.4,80,0.5,1.0,failure,0.8283333333333333,family,0.01777777777777767
0.4,80,0.75,0.25,capability,0.7166666666666667,global,0.018333333333333424
0.4,80,0.75,0.5,capability,0.7461111111111111,family,0.03499999999999992
0.4,80,0.75,0.75,capability,0.785,family,0.005555555555555536
0.4,80,0.75,1.0,family,0.8316666666666667,failure,0.0016666666666665941
0.4,80,1.0,0.25,capability,0.7377777777777778,global,0.023333333333333206
0.4,80,1.0,0.5,capability,0.7538888888888889,family,0.03722222222222227
0.4,80,1.0,0.75,capability,0.8027777777777777,family,0.015555555555555434
0.4,80,1.0,1.0,family,0.8316666666666667,failure,0.0011111111111110628
0.4,160,0.0,0.25,global,0.8244444444444444,capability,0.03555555555555556
0.4,160,0.0,0.5,global,0.8355555555555556,capability,0.01666666666666672
0.4,160,0.0,0.75,capability,0.8355555555555556,global,0.007777777777777772
0.4,160,0.0,1.0,capability,0.8488888888888889,failure,0.01388888888888895
0.4,160,0.25,0.25,global,0.8416666666666667,capability,0.047222222222222276
0.4,160,0.25,0.5,global,0.8555555555555556,capability,0.035555555555555673
0.4,160,0.25,0.75,global,0.8505555555555556,capability,0.008888888888888946
0.4,160,0.25,1.0,global,0.8527777777777777,capability,0.0022222222222221255
0.4,160,0.5,0.25,global,0.8538888888888888,capability,0.03388888888888886
0.4,160,0.5,0.5,global,0.8622222222222223,capability,0.028888888888888964
0.4,160,0.5,0.75,global,0.8588888888888889,capability,0.012222222222222245
0.4,160,0.5,1.0,global,0.8633333333333333,capability,0.0016666666666665941
0.4,160,0.75,0.25,global,0.8650000000000001,capability,0.046111111111111214
0.4,160,0.75,0.5,global,0.8683333333333333,capability,0.030555555555555558
0.4,160,0.75,0.75,global,0.8638888888888889,capability,0.015000000000000013
0.4,160,0.75,1.0,global,0.8672222222222222,capability,0.005555555555555536
0.4,160,1.0,0.25,global,0.8649999999999999,capability,0.028888888888888742
0.4,160,1.0,0.5,global,0.8605555555555555,capability,0.0038888888888889417
0.4,160,1.0,0.75,capability,0.8566666666666666,global,0.0011111111111109517
0.4,160,1.0,1.0,capability,0.8711111111111111,family,0.011666666666666714
