kind,method,heldout_mean,heldout_std,heldout_count,external_mean,external_std,external_count
linear,capability,0.8806666666666667,0.016243757235406053,20,0.8418333333333333,0.02243834958645004,20
linear,difficulty,0.8815,0.016275227830530432,20,0.8421666666666667,0.022511205786561343,20
linear,failure,0.8798333333333334,0.01728586617993564,20,0.841,0.022297824612641983,20
linear,family,0.8801666666666665,0.016770727770181,20,0.8408333333333333,0.02309084525310677,20
linear,random_gran,0.8806666666666667,0.016351404253232563,20,0.8415000000000001,0.02280030265521908,20
linear,uniform,0.8805,0.01641119999817553,20,0.8413333333333334,0.022384204957490616,20
nonlinear,capability,0.883,0.01600073097745427,20,0.8455,0.022511205786561354,20
nonlinear,difficulty,0.8841666666666667,0.01581601083808459,20,0.8466666666666667,0.021602468994692908,20
nonlinear,failure,0.8826666666666666,0.016809910749769147,20,0.8445,0.022769503560632585,20
nonlinear,family,0.8828333333333334,0.016159837588205907,20,0.8455,0.02269232294120277,20
nonlinear,random_gran,0.883,0.016645600721866778,20,0.8460000000000001,0.021834036415624786,20
nonlinear,uniform,0.8825,0.01674979270186812,20,0.8448333333333334,0.02251640078017727,20
tabular,capability,0.8706666666666667,0.016026294183720653,20,0.8313333333333333,0.021882193888107443,20
tabular,difficulty,0.8711666666666666,0.01571958215595743,20,0.8313333333333333,0.021882193888107443,20
tabular,failure,0.8696666666666667,0.01585386480451268,20,0.8303333333333333,0.023116789675737468,20
tabular,family,0.8698333333333335,0.014528656900933058,20,0.8298333333333334,0.022748947665398568,20
tabular,random_gran,0.8711666666666666,0.01571958215595743,20,0.8313333333333333,0.021882193888107443,20
tabular,uniform,0.8711666666666666,0.01571958215595743,20,0.8313333333333333,0.021882193888107443,20
